dni,nombre,cuenta,moneda,monto,bic,concepto,cargos
10000001,BENEFICIARIO 001 SAC,000000000001,PEN,237.50,BCPLPEPLXXX,PAGO PROVEEDOR 001,OUR
10000002,BENEFICIARIO 002 SAC,000000000002,PEN,375.00,BCPLPEPLXXX,PAGO PROVEEDOR 002,BEN
10000003,BENEFICIARIO 003 SAC,000000000003,PEN,512.50,BCPLPEPLXXX,PAGO PROVEEDOR 003,SHA
10000004,BENEFICIARIO 004 SAC,000000000004,PEN,650.00,BCPLPEPLXXX,PAGO PROVEEDOR 004,OUR
10000005,BENEFICIARIO 005 SAC,000000000005,USD,787.50,BCPLPEPLXXX,PAGO PROVEEDOR 005,BEN
10000006,BENEFICIARIO 006 SAC,000000000006,PEN,925.00,BCPLPEPLXXX,PAGO PROVEEDOR 006,SHA
10000007,BENEFICIARIO 007 SAC,000000000007,PEN,1062.50,BCPLPEPLXXX,PAGO PROVEEDOR 007,OUR
10000008,BENEFICIARIO 008 SAC,000000000008,PEN,1200.00,BCPLPEPLXXX,PAGO PROVEEDOR 008,BEN
10000009,BENEFICIARIO 009 SAC,000000000009,PEN,1337.50,BCPLPEPLXXX,PAGO PROVEEDOR 009,SHA
10000010,BENEFICIARIO 010 SAC,000000000010,USD,1475.00,BCPLPEPLXXX,PAGO PROVEEDOR 010,OUR
10000011,BENEFICIARIO 011 SAC,000000000011,PEN,1612.50,BCPLPEPLXXX,PAGO PROVEEDOR 011,BEN
10000012,BENEFICIARIO 012 SAC,000000000012,PEN,1750.00,BCPLPEPLXXX,PAGO PROVEEDOR 012,SHA
10000013,BENEFICIARIO 013 SAC,000000000013,PEN,1887.50,BCPLPEPLXXX,PAGO PROVEEDOR 013,OUR
10000014,BENEFICIARIO 014 SAC,000000000014,PEN,2025.00,BCPLPEPLXXX,PAGO PROVEEDOR 014,BEN
10000015,BENEFICIARIO 015 SAC,000000000015,USD,2162.50,BCPLPEPLXXX,PAGO PROVEEDOR 015,SHA
10000016,BENEFICIARIO 016 SAC,000000000016,PEN,2300.00,BCPLPEPLXXX,PAGO PROVEEDOR 016,OUR
10000017,BENEFICIARIO 017 SAC,000000000017,PEN,2437.50,BCPLPEPLXXX,PAGO PROVEEDOR 017,BEN
10000018,BENEFICIARIO 018 SAC,000000000018,PEN,2575.00,BCPLPEPLXXX,PAGO PROVEEDOR 018,SHA
10000019,BENEFICIARIO 019 SAC,000000000019,PEN,2712.50,BCPLPEPLXXX,PAGO PROVEEDOR 019,OUR
10000020,BENEFICIARIO 020 SAC,000000000020,USD,2850.00,BCPLPEPLXXX,PAGO PROVEEDOR 020,BEN
10000021,BENEFICIARIO 021 SAC,000000000021,PEN,2987.50,BCPLPEPLXXX,PAGO PROVEEDOR 021,SHA
10000022,BENEFICIARIO 022 SAC,000000000022,PEN,3125.00,BCPLPEPLXXX,PAGO PROVEEDOR 022,OUR
10000023,BENEFICIARIO 023 SAC,000000000023,PEN,3262.50,BCPLPEPLXXX,PAGO PROVEEDOR 023,BEN
10000024,BENEFICIARIO 024 SAC,000000000024,PEN,3400.00,BCPLPEPLXXX,PAGO PROVEEDOR 024,SHA
10000025,BENEFICIARIO 025 SAC,000000000025,USD,3537.50,BCPLPEPLXXX,PAGO PROVEEDOR 025,OUR
10000026,BENEFICIARIO 026 SAC,000000000026,PEN,3675.00,BCPLPEPLXXX,PAGO PROVEEDOR 026,BEN
10000027,BENEFICIARIO 027 SAC,000000000027,PEN,3812.50,BCPLPEPLXXX,PAGO PROVEEDOR 027,SHA
10000028,BENEFICIARIO 028 SAC,000000000028,PEN,3950.00,BCPLPEPLXXX,PAGO PROVEEDOR 028,OUR
10000029,BENEFICIARIO 029 SAC,000000000029,PEN,4087.50,BCPLPEPLXXX,PAGO PROVEEDOR 029,BEN
10000030,BENEFICIARIO 030 SAC,000000000030,USD,4225.00,BCPLPEPLXXX,PAGO PROVEEDOR 030,SHA
10000031,BENEFICIARIO 031 SAC,000000000031,PEN,4362.50,BCPLPEPLXXX,PAGO PROVEEDOR 031,OUR
10000032,BENEFICIARIO 032 SAC,000000000032,PEN,4500.00,BCPLPEPLXXX,PAGO PROVEEDOR 032,BEN
10000033,BENEFICIARIO 033 SAC,000000000033,PEN,4637.50,BCPLPEPLXXX,PAGO PROVEEDOR 033,SHA
10000034,BENEFICIARIO 034 SAC,000000000034,PEN,4775.00,BCPLPEPLXXX,PAGO PROVEEDOR 034,OUR
10000035,BENEFICIARIO 035 SAC,000000000035,USD,4912.50,BCPLPEPLXXX,PAGO PROVEEDOR 035,BEN
10000036,BENEFICIARIO 036 SAC,000000000036,PEN,5050.00,BCPLPEPLXXX,PAGO PROVEEDOR 036,SHA
10000037,BENEFICIARIO 037 SAC,000000000037,PEN,5187.50,BCPLPEPLXXX,PAGO PROVEEDOR 037,OUR
10000038,BENEFICIARIO 038 SAC,000000000038,PEN,5325.00,BCPLPEPLXXX,PAGO PROVEEDOR 038,BEN
10000039,BENEFICIARIO 039 SAC,000000000039,PEN,5462.50,BCPLPEPLXXX,PAGO PROVEEDOR 039,SHA
10000040,BENEFICIARIO 040 SAC,000000000040,USD,5600.00,BCPLPEPLXXX,PAGO PROVEEDOR 040,OUR
10000041,BENEFICIARIO 041 SAC,000000000041,PEN,5737.50,BCPLPEPLXXX,PAGO PROVEEDOR 041,BEN
10000042,BENEFICIARIO 042 SAC,000000000042,PEN,5875.00,BCPLPEPLXXX,PAGO PROVEEDOR 042,SHA
10000043,BENEFICIARIO 043 SAC,000000000043,PEN,6012.50,BCPLPEPLXXX,PAGO PROVEEDOR 043,OUR
10000044,BENEFICIARIO 044 SAC,000000000044,PEN,6150.00,BCPLPEPLXXX,PAGO PROVEEDOR 044,BEN
10000045,BENEFICIARIO 045 SAC,000000000045,USD,6287.50,BCPLPEPLXXX,PAGO PROVEEDOR 045,SHA
10000046,BENEFICIARIO 046 SAC,000000000046,PEN,6425.00,BCPLPEPLXXX,PAGO PROVEEDOR 046,OUR
10000047,BENEFICIARIO 047 SAC,000000000047,PEN,6562.50,BCPLPEPLXXX,PAGO PROVEEDOR 047,BEN
10000048,BENEFICIARIO 048 SAC,000000000048,PEN,6700.00,BCPLPEPLXXX,PAGO PROVEEDOR 048,SHA
10000049,BENEFICIARIO 049 SAC,000000000049,PEN,6837.50,BCPLPEPLXXX,PAGO PROVEEDOR 049,OUR
