dni,nombre,cuenta,moneda,monto,bic,concepto,cargos
10000001,BENEFICIARIO 00001,001000000001,PEN,11.23,BINPPEPLXXX,PAGO PROVEEDOR 00001,OUR
10000002,BENEFICIARIO 00002,001000000002,PEN,11.96,SCBLPEPLXXX,PAGO PROVEEDOR 00002,BEN
10000003,BENEFICIARIO 00003,001000000003,PEN,12.69,CITIPEPLXXX,PAGO PROVEEDOR 00003,SHA
10000004,BENEFICIARIO 00004,001000000004,PEN,13.42,BCPLPEPLXXX,PAGO PROVEEDOR 00004,OUR
10000005,BENEFICIARIO 00005,001000000005,USD,14.15,BINPPEPLXXX,PAGO PROVEEDOR 00005,BEN
10000006,BENEFICIARIO 00006,001000000006,PEN,14.88,SCBLPEPLXXX,PAGO PROVEEDOR 00006,SHA
10000007,BENEFICIARIO 00007,001000000007,PEN,15.61,CITIPEPLXXX,PAGO PROVEEDOR 00007,OUR
10000008,BENEFICIARIO 00008,001000000008,PEN,16.34,BCPLPEPLXXX,PAGO PROVEEDOR 00008,BEN
10000009,BENEFICIARIO 00009,001000000009,PEN,17.07,BINPPEPLXXX,PAGO PROVEEDOR 00009,SHA
10000010,BENEFICIARIO 00010,001000000010,USD,17.80,SCBLPEPLXXX,PAGO PROVEEDOR 00010,OUR
10000011,BENEFICIARIO 00011,001000000011,PEN,18.53,CITIPEPLXXX,PAGO PROVEEDOR 00011,BEN
10000012,BENEFICIARIO 00012,001000000012,PEN,19.26,BCPLPEPLXXX,PAGO PROVEEDOR 00012,SHA
10000013,BENEFICIARIO 00013,001000000013,PEN,19.99,BINPPEPLXXX,PAGO PROVEEDOR 00013,OUR
10000014,BENEFICIARIO 00014,001000000014,PEN,20.72,SCBLPEPLXXX,PAGO PROVEEDOR 00014,BEN
10000015,BENEFICIARIO 00015,001000000015,USD,21.45,CITIPEPLXXX,PAGO PROVEEDOR 00015,SHA
10000016,BENEFICIARIO 00016,001000000016,PEN,22.18,BCPLPEPLXXX,PAGO PROVEEDOR 00016,OUR
10000017,BENEFICIARIO 00017,001000000017,PEN,22.91,BINPPEPLXXX,PAGO PROVEEDOR 00017,BEN
10000018,BENEFICIARIO 00018,001000000018,PEN,23.64,SCBLPEPLXXX,PAGO PROVEEDOR 00018,SHA
10000019,BENEFICIARIO 00019,001000000019,PEN,24.37,CITIPEPLXXX,PAGO PROVEEDOR 00019,OUR
10000020,BENEFICIARIO 00020,001000000020,USD,25.10,BCPLPEPLXXX,PAGO PROVEEDOR 00020,BEN
10000021,BENEFICIARIO 00021,001000000021,PEN,25.83,BINPPEPLXXX,PAGO PROVEEDOR 00021,SHA
10000022,BENEFICIARIO 00022,001000000022,PEN,26.56,SCBLPEPLXXX,PAGO PROVEEDOR 00022,OUR
10000023,BENEFICIARIO 00023,001000000023,PEN,27.29,CITIPEPLXXX,PAGO PROVEEDOR 00023,BEN
10000024,BENEFICIARIO 00024,001000000024,PEN,28.02,BCPLPEPLXXX,PAGO PROVEEDOR 00024,SHA
10000025,BENEFICIARIO 00025,001000000025,USD,28.75,BINPPEPLXXX,PAGO PROVEEDOR 00025,OUR
10000026,BENEFICIARIO 00026,001000000026,PEN,29.48,SCBLPEPLXXX,PAGO PROVEEDOR 00026,BEN
10000027,BENEFICIARIO 00027,001000000027,PEN,30.21,CITIPEPLXXX,PAGO PROVEEDOR 00027,SHA
10000028,BENEFICIARIO 00028,001000000028,PEN,30.94,BCPLPEPLXXX,PAGO PROVEEDOR 00028,OUR
10000029,BENEFICIARIO 00029,001000000029,PEN,31.67,BINPPEPLXXX,PAGO PROVEEDOR 00029,BEN
10000030,BENEFICIARIO 00030,001000000030,USD,32.40,SCBLPEPLXXX,PAGO PROVEEDOR 00030,SHA
10000031,BENEFICIARIO 00031,001000000031,PEN,33.13,CITIPEPLXXX,PAGO PROVEEDOR 00031,OUR
10000032,BENEFICIARIO 00032,001000000032,PEN,33.86,BCPLPEPLXXX,PAGO PROVEEDOR 00032,BEN
10000033,BENEFICIARIO 00033,001000000033,PEN,34.59,BINPPEPLXXX,PAGO PROVEEDOR 00033,SHA
10000034,BENEFICIARIO 00034,001000000034,PEN,35.32,SCBLPEPLXXX,PAGO PROVEEDOR 00034,OUR
10000035,BENEFICIARIO 00035,001000000035,USD,36.05,CITIPEPLXXX,PAGO PROVEEDOR 00035,BEN
10000036,BENEFICIARIO 00036,001000000036,PEN,36.78,BCPLPEPLXXX,PAGO PROVEEDOR 00036,SHA
10000037,BENEFICIARIO 00037,001000000037,PEN,37.51,BINPPEPLXXX,PAGO PROVEEDOR 00037,OUR
10000038,BENEFICIARIO 00038,001000000038,PEN,38.24,SCBLPEPLXXX,PAGO PROVEEDOR 00038,BEN
10000039,BENEFICIARIO 00039,001000000039,PEN,38.97,CITIPEPLXXX,PAGO PROVEEDOR 00039,SHA
10000040,BENEFICIARIO 00040,001000000040,USD,39.70,BCPLPEPLXXX,PAGO PROVEEDOR 00040,OUR
10000041,BENEFICIARIO 00041,001000000041,PEN,40.43,BINPPEPLXXX,PAGO PROVEEDOR 00041,BEN
10000042,BENEFICIARIO 00042,001000000042,PEN,41.16,SCBLPEPLXXX,PAGO PROVEEDOR 00042,SHA
10000043,BENEFICIARIO 00043,001000000043,PEN,41.89,CITIPEPLXXX,PAGO PROVEEDOR 00043,OUR
10000044,BENEFICIARIO 00044,001000000044,PEN,42.62,BCPLPEPLXXX,PAGO PROVEEDOR 00044,BEN
10000045,BENEFICIARIO 00045,001000000045,USD,43.35,BINPPEPLXXX,PAGO PROVEEDOR 00045,SHA
10000046,BENEFICIARIO 00046,001000000046,PEN,44.08,SCBLPEPLXXX,PAGO PROVEEDOR 00046,OUR
10000047,BENEFICIARIO 00047,001000000047,PEN,44.81,CITIPEPLXXX,PAGO PROVEEDOR 00047,BEN
10000048,BENEFICIARIO 00048,001000000048,PEN,45.54,BCPLPEPLXXX,PAGO PROVEEDOR 00048,SHA
10000049,BENEFICIARIO 00049,001000000049,PEN,46.27,BINPPEPLXXX,PAGO PROVEEDOR 00049,OUR
10000050,BENEFICIARIO 00050,001000000050,USD,47.00,SCBLPEPLXXX,PAGO PROVEEDOR 00050,BEN
10000051,BENEFICIARIO 00051,001000000051,PEN,47.73,CITIPEPLXXX,PAGO PROVEEDOR 00051,SHA
10000052,BENEFICIARIO 00052,001000000052,PEN,48.46,BCPLPEPLXXX,PAGO PROVEEDOR 00052,OUR
10000053,BENEFICIARIO 00053,001000000053,PEN,49.19,BINPPEPLXXX,PAGO PROVEEDOR 00053,BEN
10000054,BENEFICIARIO 00054,001000000054,PEN,49.92,SCBLPEPLXXX,PAGO PROVEEDOR 00054,SHA
10000055,BENEFICIARIO 00055,001000000055,USD,50.65,CITIPEPLXXX,PAGO PROVEEDOR 00055,OUR
10000056,BENEFICIARIO 00056,001000000056,PEN,51.38,BCPLPEPLXXX,PAGO PROVEEDOR 00056,BEN
10000057,BENEFICIARIO 00057,001000000057,PEN,52.11,BINPPEPLXXX,PAGO PROVEEDOR 00057,SHA
10000058,BENEFICIARIO 00058,001000000058,PEN,52.84,SCBLPEPLXXX,PAGO PROVEEDOR 00058,OUR
10000059,BENEFICIARIO 00059,001000000059,PEN,53.57,CITIPEPLXXX,PAGO PROVEEDOR 00059,BEN
10000060,BENEFICIARIO 00060,001000000060,USD,54.30,BCPLPEPLXXX,PAGO PROVEEDOR 00060,SHA
10000061,BENEFICIARIO 00061,001000000061,PEN,55.03,BINPPEPLXXX,PAGO PROVEEDOR 00061,OUR
10000062,BENEFICIARIO 00062,001000000062,PEN,55.76,SCBLPEPLXXX,PAGO PROVEEDOR 00062,BEN
10000063,BENEFICIARIO 00063,001000000063,PEN,56.49,CITIPEPLXXX,PAGO PROVEEDOR 00063,SHA
10000064,BENEFICIARIO 00064,001000000064,PEN,57.22,BCPLPEPLXXX,PAGO PROVEEDOR 00064,OUR
10000065,BENEFICIARIO 00065,001000000065,USD,57.95,BINPPEPLXXX,PAGO PROVEEDOR 00065,BEN
10000066,BENEFICIARIO 00066,001000000066,PEN,58.68,SCBLPEPLXXX,PAGO PROVEEDOR 00066,SHA
10000067,BENEFICIARIO 00067,001000000067,PEN,59.41,CITIPEPLXXX,PAGO PROVEEDOR 00067,OUR
10000068,BENEFICIARIO 00068,001000000068,PEN,60.14,BCPLPEPLXXX,PAGO PROVEEDOR 00068,BEN
10000069,BENEFICIARIO 00069,001000000069,PEN,60.87,BINPPEPLXXX,PAGO PROVEEDOR 00069,SHA
10000070,BENEFICIARIO 00070,001000000070,USD,61.60,SCBLPEPLXXX,PAGO PROVEEDOR 00070,OUR
10000071,BENEFICIARIO 00071,001000000071,PEN,62.33,CITIPEPLXXX,PAGO PROVEEDOR 00071,BEN
10000072,BENEFICIARIO 00072,001000000072,PEN,63.06,BCPLPEPLXXX,PAGO PROVEEDOR 00072,SHA
10000073,BENEFICIARIO 00073,001000000073,PEN,63.79,BINPPEPLXXX,PAGO PROVEEDOR 00073,OUR
10000074,BENEFICIARIO 00074,001000000074,PEN,64.52,SCBLPEPLXXX,PAGO PROVEEDOR 00074,BEN
10000075,BENEFICIARIO 00075,001000000075,USD,65.25,CITIPEPLXXX,PAGO PROVEEDOR 00075,SHA
